Image,Dart X,Dart Y,Target X,Target Y
1.png,251,484,612,440
10.png,401,675,645,519
100.png,810,520,609,438
101.png,-1,-1,610,441
102.png,-1,-1,612,440
103.png,650,385,684,382
104.png,771,378,687,382
105.png,884,420,685,383
106.png,368,519,685,382
107.png,646,476,684,383
108.png,355,427,687,382
109.png,554,430,686,383
11.png,662,424,604,449
110.png,468,388,685,382
111.png,578,503,686,382
112.png,454,435,686,382
113.png,751,401,686,382
114.png,531,479,687,382
115.png,542,440,686,383
116.png,607,434,684,383
117.png,596,436,761,328
118.png,542,456,623,541
119.png,653,433,482,551
12.png,437,389,676,543
120.png,666,550,568,513
121.png,563,388,670,340
122.png,441,380,636,494
123.png,670,360,465,502
124.png,740,391,504,358
125.png,493,455,813,308
126.png,522,514,792,320
127.png,695,290,684,466
128.png,678,425,584,464
129.png,572,544,481,376
13.png,526,490,611,440
130.png,596,438,570,368
131.png,750,485,666,370
132.png,-1,-1,773,409
133.png,278,568,491,535
134.png,549,455,554,546
135.png,879,283,564,306
136.png,438,367,547,509
137.png,512,597,525,413
138.png,460,547,596,551
139.png,680,348,719,477
14.png,654,616,461,557
140.png,479,444,444,514
141.png,304,365,810,313
142.png,751,501,448,434
143.png,617,331,642,537
144.png,550,589,599,440
145.png,339,551,493,423
146.png,679,407,604,420
147.png,780,458,774,414
148.png,552,356,783,303
149.png,901,383,624,525
15.png,592,319,471,357
150.png,556,499,758,440
151.png,436,436,709,414
152.png,645,338,561,319
153.png,348,389,733,289
154.png,889,386,707,443
155.png,554,396,477,370
156.png,602,486,548,433
157.png,363,569,697,482
158.png,561,614,749,402
159.png,501,372,588,320
16.png,586,578,451,573
160.png,604,495,685,296
161.png,609,227,722,393
162.png,788,397,668,320
163.png,764,345,522,505
164.png,333,499,630,471
165.png,315,532,497,480
166.png,428,530,545,441
167.png,768,336,511,489
168.png,591,472,761,290
169.png,778,186,758,291
17.png,333,527,486,516
170.png,421,480,644,428
171.png,512,533,448,568
172.png,610,380,638,394
173.png,479,490,510,560
174.png,-1,-1,722,421
175.png,531,479,747,378
176.png,-1,-1,678,308
177.png,513,639,428,561
178.png,328,341,640,321
18.png,755,433,456,504
19.png,746,294,460,371
2.png,476,399,611,440
20.png,675,460,656,535
21.png,518,514,621,529
22.png,556,519,463,579
23.png,564,476,628,439
24.png,719,433,610,440
25.png,528,382,807,342
26.png,551,480,591,550
27.png,671,618,444,597
28.png,-1,-1,685,331
29.png,739,252,487,373
3.png,508,537,510,439
30.png,777,536,554,496
31.png,488,316,450,547
32.png,556,540,451,518
33.png,748,388,550,380
